,Candidate,Raised,Spent,Cash on Hand,Last Report,state,district
0,Jerry Carl (R)  • Winner,"$1,971,321","$1,859,349","$111,973",12/31/2020,AL,01
1,James Averhart (D),"$80,095","$78,973","$1,122",12/31/2020,AL,01
2,Barry Moore (R)  • Winner,"$650,807","$669,368","-$13,633",12/31/2020,AL,02
3,Phyllis Harvey-Hall (D),"$56,050","$55,988",$0,12/31/2020,AL,02
4,Mike D Rogers (R)  • Incumbent • Winner,"$1,193,111","$1,218,564","$502,234",12/31/2020,AL,03
5,Adia Winfrey (D),"$50,273","$40,971",$43,12/31/2020,AL,03
6,Robert B Aderholt (R)  • Incumbent • Winner,"$1,255,076","$1,323,812","$647,004",12/31/2020,AL,04
7,Rick Neighbors (D),"$46,068","$45,034","$1,034",12/31/2020,AL,04
8,Mo Brooks (R)  • Incumbent • Winner,"$655,365","$210,045","$1,137,501",12/31/2020,AL,05
9,Gary Palmer (R)  • Incumbent • Winner,"$907,219","$909,082","$370,688",12/31/2020,AL,06
10,Terri Sewell (D)  • Incumbent • Winner,"$2,168,165","$1,495,957","$2,243,480",12/31/2020,AL,07
11,Don Young (R)  • Incumbent • Winner,"$1,922,901","$1,790,448","$249,173",12/31/2020,AK,01
12,Alyse Galvin (I),"$5,178,452","$5,088,103","$96,594",12/31/2020,AK,01
13,Tom O'Halleran (D)  • Incumbent • Winner,"$3,381,353","$3,324,138","$63,147",12/31/2020,AZ,01
14,Tiffany Shedd (R),"$1,675,618","$1,615,704","$63,347",12/31/2020,AZ,01
15,Ann Kirkpatrick (D)  • Incumbent • Winner,"$1,849,862","$1,384,765","$537,288",12/31/2020,AZ,02
16,Brandon Martin (R),"$374,821","$381,067","-$7,418",12/31/2020,AZ,02
17,Raul M Grijalva (D)  • Incumbent • Winner,"$843,560","$655,507","$226,209",12/31/2020,AZ,03
18,Daniel Wood (R),"$41,422","$41,962",-$539,11/23/2020,AZ,03
19,Paul Gosar (R)  • Incumbent • Winner,"$622,151","$729,892","$13,459",12/31/2020,AZ,04
20,Delina DiSanto (D),"$77,168","$79,758","$5,974",12/31/2020,AZ,04
21,Andy Biggs (R)  • Incumbent • Winner,"$1,602,181","$1,236,380","$651,047",12/31/2020,AZ,05
22,Joan Greene (D),"$356,069","$209,789","$147,117",12/31/2020,AZ,05
23,David Schweikert (R)  • Incumbent • Winner,"$2,265,329","$2,249,979","$59,582",12/31/2020,AZ,06
24,Hiral Tipirneni (D),"$6,301,073","$6,366,702","$34,973",12/31/2020,AZ,06
25,Tom Lewellen (I),"$11,685","$11,000","-$3,293",12/31/2020,AZ,06
26,Ruben Gallego (D)  • Incumbent • Winner,"$1,811,754","$1,653,961","$616,971",12/31/2020,AZ,07
27,Josh Barnett (R),"$28,093","$17,883","$10,210",10/14/2020,AZ,07
28,Debbie Lesko (R)  • Incumbent • Winner,"$1,605,245","$987,453","$688,633",12/31/2020,AZ,08
29,Michael Muscato (D),"$357,906","$347,734","$10,172",12/31/2020,AZ,08
30,Greg Stanton (D)  • Incumbent • Winner,"$2,001,619","$1,001,350","$1,044,655",12/31/2020,AZ,09
31,Dave Giles (R),"$130,480","$129,935",$546,12/31/2020,AZ,09
32,Rick Crawford (R)  • Incumbent • Winner,"$966,801","$1,095,518","$182,708",12/31/2020,AR,01
33,French Hill (R)  • Incumbent • Winner,"$3,384,490","$3,020,491","$410,779",12/31/2020,AR,02
34,Joyce Elliott (D),"$3,482,463","$3,478,733","$3,730",12/31/2020,AR,02
35,Steve Womack (R)  • Incumbent • Winner,"$1,127,158","$923,120","$1,363,257",12/31/2020,AR,03
36,Celeste Williams (D) (D),"$355,294","$355,294",$0,11/30/2020,AR,03
37,Bruce Westerman (R)  • Incumbent • Winner,"$1,407,770","$1,102,573","$976,806",12/31/2020,AR,04
38,William Hanson (D),"$109,767","$111,683","-$1,916",12/31/2020,AR,04
39,Doug LaMalfa (R)  • Incumbent • Winner,"$1,219,556","$1,155,945","$91,242",12/31/2020,CA,01
40,Audrey Denney (D),"$2,461,769","$2,457,661","$4,601",12/31/2020,CA,01
41,Jared Huffman (D)  • Incumbent • Winner,"$899,419","$797,753","$922,442",12/31/2020,CA,02
42,Dale Mensing (R),"$5,921","$2,197","$5,391",12/31/2020,CA,02
43,John Garamendi (D)  • Incumbent • Winner,"$1,054,066","$667,320","$1,111,122",12/31/2020,CA,03
44,Tamika Hamilton (R),"$397,099","$384,584","$12,515",12/31/2020,CA,03
45,Tom McClintock (R)  • Incumbent • Winner,"$2,053,363","$2,107,248","$171,001",12/31/2020,CA,04
46,Brynne Kennedy (D),"$3,006,020","$3,002,532","$3,489",12/31/2020,CA,04
47,Mike Thompson (D)  • Incumbent • Winner,"$2,208,136","$2,022,751","$1,746,172",12/31/2020,CA,05
48,Doris Matsui (D)  • Incumbent • Winner,"$1,019,605","$1,073,529","$269,411",12/31/2020,CA,06
49,Christine Bish (R),"$44,772","$44,554",$965,12/31/2020,CA,06
50,Ami Bera (D)  • Incumbent • Winner,"$1,757,748","$1,053,444","$2,029,018",12/31/2020,CA,07
51,Buzz Patterson (R),"$43,876","$29,614","$3,532",12/31/2019,CA,07
52,Jay Obernolte (R)  • Winner,"$1,861,647","$1,792,064","$69,583",12/31/2020,CA,08
53,Chris Bubser (D),"$1,858,001","$1,856,613","$1,388",12/31/2020,CA,08
54,Jerry McNerney (D)  • Incumbent • Winner,"$1,177,959","$1,112,543","$234,173",12/31/2020,CA,09
55,Tony Amador (R),"$52,175","$52,175",$0,12/31/2020,CA,09
56,Josh Harder (D)  • Incumbent • Winner,"$7,400,135","$3,950,613","$3,469,763",12/31/2020,CA,10
57,Ted Howze (R),"$1,426,552","$1,721,882","$14,241",12/31/2020,CA,10
58,Mark Desaulnier (D)  • Incumbent • Winner,"$610,394","$440,537","$481,388",12/31/2020,CA,11
59,Nisha Sharma (R),"$174,954","$171,870","$3,085",12/31/2020,CA,11
60,Nancy Pelosi (D)  • Incumbent • Winner,"$27,359,508","$22,064,953","$6,299,373",12/31/2020,CA,12
61,Shahid Buttar (D),"$1,672,876","$1,650,467","$22,417",12/31/2020,CA,12
62,Barbara Lee (D)  • Incumbent • Winner,"$1,828,213","$1,750,142","$210,374",12/31/2020,CA,13
63,Nikka Piterman (R),"$9,839","$9,904","$1,293",12/31/2020,CA,13
64,Jackie Speier (D)  • Incumbent • Winner,"$942,934","$919,599","$1,779,772",12/31/2020,CA,14
65,Eric Swalwell (D)  • Incumbent • Winner,"$2,807,774","$3,977,839","$502,929",12/31/2020,CA,15
66,Jim Costa (D)  • Incumbent • Winner,"$2,135,525","$1,835,244","$410,171",12/31/2020,CA,16
67,Kevin Cookingham (R),"$265,364","$265,364",$0,12/31/2020,CA,16
68,Ro Khanna (D)  • Incumbent • Winner,"$3,837,982","$2,455,457","$2,261,128",12/31/2020,CA,17
69,Ritesh Tandon (R),"$175,536","$175,015",$522,12/31/2020,CA,17
70,Anna Eshoo (D)  • Incumbent • Winner,"$2,114,909","$2,059,158","$552,799",12/31/2020,CA,18
71,Rishi Kumar (D),"$674,383","$691,938","-$17,555",12/31/2020,CA,18
72,Zoe Lofgren (D)  • Incumbent • Winner,"$1,755,555","$1,731,700","$1,160,537",12/31/2020,CA,19
73,Justin Aguilera (R),"$9,112","$11,542","$1,441",12/31/2020,CA,19
74,Jimmy Panetta (D)  • Incumbent • Winner,"$2,009,894","$1,592,671","$1,175,357",12/31/2020,CA,20
75,Jeff Gorman (R),"$67,634","$64,947","$2,687",12/31/2020,CA,20
76,TJ Cox (D)  • Incumbent,"$5,695,157","$5,694,005","$55,943",12/31/2020,CA,21
77,David Valadao (R)  • Winner,"$4,067,880","$3,982,587","$164,211",12/31/2020,CA,21
78,Devin Nunes (R)  • Incumbent • Winner,"$26,825,212","$20,156,093","$10,908,033",12/31/2020,CA,22
79,Phil Arballo (D),"$5,091,451","$5,062,185","$29,266",12/31/2020,CA,22
80,Kevin McCarthy (R)  • Incumbent • Winner,"$27,780,644","$24,265,583","$4,802,133",12/31/2020,CA,23
81,Kim Mangone (D),"$1,671,101","$1,665,373","$5,728",12/31/2020,CA,23
82,Salud Carbajal (D)  • Incumbent • Winner,"$2,117,836","$1,451,622","$1,400,705",12/31/2020,CA,24
83,Andy Caldwell (R),"$1,298,798","$1,268,199","$34,587",12/31/2020,CA,24
84,Mike Garcia (R)  • Incumbent • Winner,"$9,962,507","$9,584,648","$377,858",12/31/2020,CA,25
85,Christy Smith (D),"$5,977,734","$5,808,477","$169,258",12/31/2020,CA,25
86,Julia Brownley (D)  • Incumbent • Winner,"$1,976,695","$1,314,677","$3,113,430",12/31/2020,CA,26
87,Ronda Kennedy (R),"$246,226","$67,208","$177,973",10/14/2020,CA,26
88,Judy Chu (D)  • Incumbent • Winner,"$1,213,706","$956,298","$2,781,770",12/31/2020,CA,27
89,Johnny Nalbandian (R),"$39,584","$39,159",$462,12/31/2020,CA,27
90,Adam Schiff (D)  • Incumbent • Winner,"$19,382,855","$10,188,664","$13,908,271",12/31/2020,CA,28
91,Eric Early (R),"$4,085,322","$3,790,027","$295,295",12/31/2020,CA,28
92,Tony Cardenas (D)  • Incumbent • Winner,"$1,419,697","$1,213,588","$529,789",12/31/2020,CA,29
93,Angelica Duenas (3),"$78,083","$76,627","$1,456",12/31/2020,CA,29
94,Brad Sherman (D)  • Incumbent • Winner,"$1,513,374","$1,111,826","$2,624,621",12/31/2020,CA,30
95,Pete Aguilar (D)  • Incumbent • Winner,"$2,475,748","$1,861,434","$1,839,594",12/31/2020,CA,31
96,Agnes Gibboney (R),"$138,687","$127,907","$10,780",12/31/2020,CA,31
97,Grace Napolitano (D)  • Incumbent • Winner,"$478,426","$251,047","$533,330",12/31/2020,CA,32
98,Joshua Scott (R),"$23,624","$14,248","$10,155",12/31/2020,CA,32
99,Ted Lieu (D)  • Incumbent • Winner,"$1,661,436","$1,582,573","$1,944,364",12/31/2020,CA,33
100,James Bradley (R),"$78,910","$79,035",$0,12/31/2020,CA,33
101,Jimmy Gomez (D)  • Incumbent • Winner,"$1,401,166","$1,268,312","$489,519",12/31/2020,CA,34
102,David Kim (D),"$193,430","$80,381","$99,638",11/23/2020,CA,34
103,Norma Torres (D)  • Incumbent • Winner,"$654,727","$664,600","$207,654",12/31/2020,CA,35
104,Mike Cargile (R),"$36,113","$35,915",$198,12/31/2020,CA,35
105,Raul Ruiz (D)  • Incumbent • Winner,"$2,402,624","$1,732,443","$2,316,172",12/31/2020,CA,36
106,Erin Cruz (R),"$54,217","$53,840",$782,12/31/2020,CA,36
107,Karen Bass (D)  • Incumbent • Winner,"$2,216,467","$1,202,942","$1,325,864",12/31/2020,CA,37
108,Errol Webber (R),"$66,398","$174,076",$0,12/31/2020,CA,37
109,Linda Sanchez (D)  • Incumbent • Winner,"$1,246,008","$1,140,165","$840,983",12/31/2020,CA,38
110,Gil Cisneros (D)  • Incumbent,"$4,370,133","$4,350,464","$101,108",12/31/2020,CA,39
111,Young Kim (R)  • Winner,"$6,424,556","$6,021,651","$408,239",12/31/2020,CA,39
112,Lucille Roybal-Allard (D)  • Incumbent • Winner,"$739,790","$741,379","$38,543",12/31/2020,CA,40
113,Antonio Delgado (R),"$85,014","$79,270","$5,744",12/31/2020,CA,40
114,Mark Takano (D)  • Incumbent • Winner,"$1,020,456","$949,494","$163,964",12/31/2020,CA,41
115,Aja Smith (R),"$660,658","$659,909","$1,016",12/31/2020,CA,41
116,Ken Calvert (R)  • Incumbent • Winner,"$1,441,812","$1,549,113","$410,599",12/31/2020,CA,42
117,Liam O'Mara (D),"$130,065","$128,782","$1,283",12/31/2020,CA,42
118,Maxine Waters (D)  • Incumbent • Winner,"$1,836,660","$1,906,957","$320,867",12/31/2020,CA,43
119,Joe Collins (R),"$10,556,626","$9,921,103","$635,523",12/31/2020,CA,43
120,Nanette Barragan (D)  • Incumbent • Winner,"$1,173,909","$714,023","$1,050,752",12/31/2020,CA,44
121,Katie Porter (D)  • Incumbent • Winner,"$16,627,706","$6,443,700","$10,267,752",12/31/2020,CA,45
122,Greg Raths (R),"$1,245,767","$1,241,713","$1,998",12/31/2020,CA,45
123,Lou Correa (D)  • Incumbent • Winner,"$1,192,715","$650,707","$1,145,701",12/31/2020,CA,46
124,Alan Lowenthal (D)  • Incumbent • Winner,"$678,648","$854,902","$393,035",12/31/2020,CA,47
125,John Briscoe (R),"$25,302","$21,538","$10,390",12/31/2020,CA,47
126,Harley Rouda (D)  • Incumbent,"$5,968,858","$6,174,443","$70,080",12/31/2020,CA,48
127,Michelle Steel (R)  • Winner,"$6,305,665","$6,148,591","$157,074",12/31/2020,CA,48
128,Mike Levin (D)  • Incumbent • Winner,"$3,845,768","$2,901,566","$1,502,261",12/31/2020,CA,49
129,Brian Maryott (R),"$2,810,253","$2,808,217","$11,794",12/31/2020,CA,49
130,Darrell Issa (R)  • Winner,"$11,239,670","$10,947,106","$292,563",12/31/2020,CA,50
131,Ammar Campa-Najjar (D),"$6,248,210","$6,247,762","$3,438",12/31/2020,CA,50
132,Juan Vargas (D)  • Incumbent • Winner,"$799,734","$801,671","$69,739",12/31/2020,CA,51
133,Juan Hidalgo (R),"$83,730","$81,182","-$8,419",12/31/2020,CA,51
134,Scott Peters (D)  • Incumbent • Winner,"$1,911,791","$2,131,849","$1,581,118",12/31/2020,CA,52
135,James Debello (R),"$233,464","$224,630","$8,835",12/31/2020,CA,52
136,Sara Jacobs (D)  • Winner,"$7,678,363","$7,586,186","$102,167",12/31/2020,CA,53
137,Georgette Gomez (D),"$1,691,794","$1,663,252","$28,542",12/31/2020,CA,53
138,Diana DeGette (D)  • Incumbent • Winner,"$1,201,026","$1,077,130","$277,373",12/31/2020,CO,01
139,Joseph Neguse (D)  • Incumbent • Winner,"$1,353,325","$674,602","$893,504",12/31/2020,CO,02
140,Charles Winn (R),"$98,338","$98,338",$0,12/31/2020,CO,02
141,Alex Johnson (I),"$4,782","$4,093",$689,09/30/2020,CO,02
142,Diane Mitsch Bush (D),"$5,008,274","$4,984,238","$28,455",12/31/2020,CO,03
143,Lauren Boebert (R)  • Winner,"$2,989,510","$2,632,716","$356,794",12/31/2020,CO,03
144,Chris Milton (3),"$12,012","$12,012",$0,11/04/2020,CO,03
145,Ken Buck (R)  • Incumbent • Winner,"$478,984","$539,393","$290,666",12/31/2020,CO,04
146,Ike McCorkle (D),"$369,871","$217,398","$152,473",12/31/2020,CO,04
147,Douglas L Lamborn (R)  • Incumbent • Winner,"$540,712","$329,011","$428,777",12/31/2020,CO,05
148,Jillian Freeland (D),"$185,255","$175,548",$553,12/31/2020,CO,05
149,Rebecca Keltie (3),"$2,552","$1,495","$2,596",09/11/2020,CO,05
150,Jason Crow (D)  • Incumbent • Winner,"$4,136,137","$2,892,443","$1,289,005",12/31/2020,CO,06
151,Steven House (R),"$1,200,056","$1,198,044","$2,012",12/31/2020,CO,06
152,Jaimie Kulikowski (3),"$72,293","$110,645",$0,12/31/2020,CO,06
153,Ed Perlmutter (D)  • Incumbent • Winner,"$1,632,262","$1,339,482","$1,053,696",12/31/2020,CO,07
154,Casper Stockham (R),"$147,872","$147,872",$0,12/31/2020,CO,07
155,Anthony Malgieri (I),"$1,930","$1,958",$15,08/20/2020,CO,07
156,John Larson (D)  • Incumbent • Winner,"$1,377,238","$1,323,690","$422,375",12/31/2020,CT,01
157,Mary Fay (R),"$26,836","$25,118","$1,718",12/31/2020,CT,01
158,Joe Courtney (D)  • Incumbent • Winner,"$964,731","$999,360","$715,813",12/31/2020,CT,02
159,Justin Anderson (R),"$80,227","$78,767","$1,460",12/31/2020,CT,02
160,Rosa L DeLauro (D)  • Incumbent • Winner,"$1,938,999","$1,795,635","$159,728",12/31/2020,CT,03
161,Margaret Streicker (R),"$1,839,080","$1,835,385","$3,695",12/31/2020,CT,03
162,Justin Paglino (3),"$29,200","$28,670",$529,12/31/2020,CT,03
163,Jim Himes (D)  • Incumbent • Winner,"$1,612,935","$2,180,029","$1,823,200",12/31/2020,CT,04
164,Jonathan Riddle (R),"$31,591","$17,385","$11,976",12/31/2020,CT,04
165,Jahana Hayes (D)  • Incumbent • Winner,"$2,037,826","$1,564,685","$1,029,607",12/31/2020,CT,05
166,David Sullivan (R),"$397,395","$397,370",$25,12/31/2020,CT,05
167,Lisa Blunt Rochester (D)  • Incumbent • Winner,"$2,024,201","$1,305,618","$963,766",12/31/2020,DE,01
168,Lee Murphy (R),"$131,394","$131,862",$247,12/03/2020,DE,01
169,Matthew Morris (R),"$10,070","$10,400",-$100,09/15/2020,DE,01
170,Catherine Purcell (I),"$5,344","$5,103",$0,11/25/2020,DE,01
171,Matt Gaetz (R)  • Incumbent • Winner,"$5,946,646","$4,482,782","$1,605,826",12/31/2020,FL,01
172,Phil Ehr (D),"$2,025,099","$1,900,451","$124,648",12/31/2020,FL,01
173,Bert Oram (I),"$8,108","$7,070","$1,039",12/31/2020,FL,01
174,Neal Dunn (R)  • Incumbent • Winner,"$653,488","$637,580","$402,063",12/31/2020,FL,02
175,Kristy Thripp (I),$145,$145,$0,09/30/2020,FL,02
176,Kat Cammack (R)  • Winner,"$1,122,188","$1,090,334","$31,853",12/31/2020,FL,03
177,Adam Christensen (D),"$216,021","$219,108","$43,481",12/31/2020,FL,03
178,John Rutherford (R)  • Incumbent • Winner,"$1,024,912","$1,283,701","$106,937",12/31/2020,FL,04
179,Donna Deegan (D),"$1,013,157","$1,013,157",$0,12/31/2020,FL,04
180,Al Lawson (D)  • Incumbent • Winner,"$848,498","$695,779","$167,392",12/31/2020,FL,05
181,Gary Adler (R),"$146,909","$146,909",$0,12/01/2020,FL,05
182,Michael Waltz (R)  • Incumbent • Winner,"$2,549,667","$1,716,768","$884,460",12/31/2020,FL,06
183,Clint Curtis (D),"$24,310","$22,251","$12,647",12/11/2020,FL,06
184,Gerry Nolan (I),"$4,467","$5,256",-$789,12/03/2020,FL,06
185,Stephanie Murphy (D)  • Incumbent • Winner,"$3,124,692","$1,798,549","$1,412,017",12/31/2020,FL,07
186,Leo Valentin (R),"$1,045,426","$1,031,316","$14,110",12/31/2020,FL,07
187,Bill Garlington (I),"$11,000",$0,"$11,000",12/31/2020,FL,07
188,Bill Posey (R)  • Incumbent • Winner,"$985,268","$1,121,834","$169,964",12/31/2020,FL,08
189,James Kennedy (D),"$138,568","$138,790",$836,12/31/2020,FL,08
190,Darren Soto (D)  • Incumbent • Winner,"$1,111,750","$945,868","$172,401",12/31/2020,FL,09
191,William Olson (R),"$404,406","$401,088","$3,318",12/31/2020,FL,09
192,Val Demings (D)  • Incumbent • Winner,"$1,876,047","$1,191,020","$771,422",12/31/2020,FL,10
193,Vennia Francois (R),"$335,480","$332,852","$9,289",12/31/2020,FL,10
194,Kristofer Steven Lawson (I),$47,$47,$0,06/30/2020,FL,10
195,Daniel Webster (R)  • Incumbent • Winner,"$691,261","$586,965","$210,702",12/31/2020,FL,11
196,Dana Cottrell (D),"$62,658","$62,380",$0,12/02/2020,FL,11
197,Gus Bilirakis (R)  • Incumbent • Winner,"$1,604,137","$1,548,634","$75,110",12/31/2020,FL,12
198,Kim Walker (D),"$42,802","$33,544","$9,258",12/31/2020,FL,12
199,Charlie Crist (D)  • Incumbent • Winner,"$2,720,646","$3,980,695","$419,008",12/31/2020,FL,13
200,Anna Paulina Luna (R),"$3,302,944","$3,262,236","$40,708",12/31/2020,FL,13
201,Kathy Castor (D)  • Incumbent • Winner,"$884,651","$1,201,653","$423,402",12/31/2020,FL,14
202,Christine Quinn (R),"$242,144","$241,187",$958,12/31/2020,FL,14
203,Alan Cohn (D),"$2,333,053","$2,300,197","$32,856",12/31/2020,FL,15
204,Scott Franklin (R)  • Winner,"$1,663,898","$1,638,417","$25,481",12/31/2020,FL,15
205,Vernon Buchanan (R)  • Incumbent • Winner,"$3,094,611","$3,100,766","$73,085",12/31/2020,FL,16
206,Margaret Good (D),"$3,411,924","$3,407,845","$4,080",12/31/2020,FL,16
207,Greg Steube (R)  • Incumbent • Winner,"$759,908","$621,200","$323,776",12/31/2020,FL,17
208,Allen Ellison (D),"$83,481","$78,243","$6,156",12/31/2020,FL,17
209,Brian Mast (R)  • Incumbent • Winner,"$6,128,177","$5,301,307","$994,362",12/31/2020,FL,18
210,Pam Keith (D),"$1,639,873","$1,632,736","$7,137",12/31/2020,FL,18
211,Byron Donalds (R)  • Winner,"$3,219,579","$2,738,685","$480,894",12/31/2020,FL,19
212,Cindy Banyai (D),"$214,750","$203,430","$11,320",12/31/2020,FL,19
213,Alcee Hastings (D)  • Incumbent • Winner,"$607,649","$543,316","$149,865",12/31/2020,FL,20
214,Greg Musselwhite (R),"$28,955","$27,538","$1,418",12/31/2020,FL,20
215,Lois J Frankel (D)  • Incumbent • Winner,"$1,534,882","$1,309,786","$1,192,171",12/31/2020,FL,21
216,Laura Loomer (R),"$2,271,604","$2,240,689","$30,915",12/31/2020,FL,21
217,Charleston Malkemus (I),"$28,928","$28,636",$292,12/31/2020,FL,21
218,Ted Deutch (D)  • Incumbent • Winner,"$1,364,438","$1,265,494","$459,816",12/31/2020,FL,22
219,Jim Pruden (R),"$278,416","$278,416",$0,11/30/2020,FL,22
220,Debbie Wasserman Schultz (D)  • Incumbent • Winner,"$2,191,922","$1,979,903","$616,233",12/31/2020,FL,23
221,Carla Spalding (R),"$919,579","$903,561","$16,018",12/31/2020,FL,23
